yyxlbm,lcbm,yxrq,trip_key,起点站,终到站,方向,列车定员,总上客量,总下客量,峰值车上人数,平均上座率,最大断面满载率,最拥挤区间,备注,人公里(PKM),车公里(TKM),平均断面客流
39,148,20150101,0749,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
39,165,20150101,1614,重庆北,成都东,forward,1418.0,1509.0,1509.0,1389.0,0.9570379916815747,0.9795486600846263,810->1694,,424766.0,313.0,1357.0798722044728
39,163,20150101,1530,重庆北,成都东,forward,1418.0,1666.0,1666.0,1237.0,0.7710382710653082,0.8723554301833568,1037->1689,,342213.0,313.0,1093.332268370607
39,147,20150101,0740,重庆北,成都东,forward,1378.0,1597.0,1597.0,1149.0,0.7896775898765169,0.8338171262699564,810->1694,,340599.0,313.0,1088.1757188498402
89,283,20150101,1118,重庆北,成都东,forward,1418.0,1254.0,1254.0,1254.0,0.8843441466854725,0.8843441466854725,1037->1689,,392502.0,313.0,1254.0
39,151,20150101,0910,重庆北,成都东,forward,1418.0,1481.0,1481.0,1243.0,0.8479071004024027,0.8765867418899859,1694->1695,,376330.0,313.0,1202.332268370607
39,149,20150101,0811,重庆北,成都,,1378.0,,,,,,,'start_id=1037 或 end_id=1640 不在合并站点序列中',,,
89,156,20150101,1130,重庆北,成都东,forward,1418.0,1172.0,1172.0,1172.0,0.8265162200282088,0.8265162200282088,1037->1689,,366836.0,313.0,1172.0
39,171,20150101,1827,重庆北,成都东,forward,1378.0,1264.0,1264.0,1145.0,0.6816681118628192,0.8309143686502177,1037->1689,,294013.0,313.0,939.3386581469648
39,169,20150101,1734,重庆北,成都,,1418.0,,,,,,,'start_id=1037 或 end_id=1640 不在合并站点序列中',,,
39,159,20150101,1304,重庆北,成都东,forward,1418.0,1782.0,1782.0,1361.0,0.9077695715064641,0.9598025387870239,810->1694,,402899.0,313.0,1287.217252396166
