from,to,区间距离,区间车上人数,yyxlbm,lcbm,yxrq,trip_key,区间人公里,列车定员,断面满载率
1037,1689,66.0,1342.0,39,165,20150101,1614,88572.0,1418.0,0.9464033850493653
1689,1690,49.0,1328.0,39,165,20150101,1614,65072.0,1418.0,0.9365303244005642
1690,810,52.0,1314.0,39,165,20150101,1614,68328.0,1418.0,0.926657263751763
810,1694,27.0,1389.0,39,165,20150101,1614,37503.0,1418.0,0.9795486600846263
1694,1695,119.0,1389.0,39,165,20150101,1614,165291.0,1418.0,0.9795486600846263
1037,1689,66.0,1237.0,39,163,20150101,1530,81642.0,1418.0,0.8723554301833568
1689,1690,49.0,1152.0,39,163,20150101,1530,56448.0,1418.0,0.8124118476727785
1690,810,52.0,957.0,39,163,20150101,1530,49764.0,1418.0,0.6748942172073342
810,1694,27.0,957.0,39,163,20150101,1530,25839.0,1418.0,0.6748942172073342
1694,1695,119.0,1080.0,39,163,20150101,1530,128520.0,1418.0,0.7616361071932299
1037,1689,66.0,1035.0,39,147,20150101,0740,68310.0,1378.0,0.7510885341074021
1689,1690,49.0,1035.0,39,147,20150101,0740,50715.0,1378.0,0.7510885341074021
1690,810,52.0,1035.0,39,147,20150101,0740,53820.0,1378.0,0.7510885341074021
810,1694,27.0,1149.0,39,147,20150101,0740,31023.0,1378.0,0.8338171262699564
1694,1695,119.0,1149.0,39,147,20150101,0740,136731.0,1378.0,0.8338171262699564
1037,1689,66.0,1254.0,89,283,20150101,1118,82764.0,1418.0,0.8843441466854725
1689,1690,49.0,1254.0,89,283,20150101,1118,61446.0,1418.0,0.8843441466854725
1690,810,52.0,1254.0,89,283,20150101,1118,65208.0,1418.0,0.8843441466854725
810,1694,27.0,1254.0,89,283,20150101,1118,33858.0,1418.0,0.8843441466854725
1694,1695,119.0,1254.0,89,283,20150101,1118,149226.0,1418.0,0.8843441466854725
1037,1689,66.0,1207.0,39,151,20150101,0910,79662.0,1418.0,0.8511988716502116
1689,1690,49.0,1201.0,39,151,20150101,0910,58849.0,1418.0,0.8469675599435825
1690,810,52.0,1138.0,39,151,20150101,0910,59176.0,1418.0,0.8025387870239774
810,1694,27.0,1138.0,39,151,20150101,0910,30726.0,1418.0,0.8025387870239774
1694,1695,119.0,1243.0,39,151,20150101,0910,147917.0,1418.0,0.8765867418899859
1037,1689,66.0,1172.0,89,156,20150101,1130,77352.0,1418.0,0.8265162200282088
1689,1690,49.0,1172.0,89,156,20150101,1130,57428.0,1418.0,0.8265162200282088
1690,810,52.0,1172.0,89,156,20150101,1130,60944.0,1418.0,0.8265162200282088
810,1694,27.0,1172.0,89,156,20150101,1130,31644.0,1418.0,0.8265162200282088
1694,1695,119.0,1172.0,89,156,20150101,1130,139468.0,1418.0,0.8265162200282088
1037,1689,66.0,1145.0,39,171,20150101,1827,75570.0,1378.0,0.8309143686502177
1689,1690,49.0,1029.0,39,171,20150101,1827,50421.0,1378.0,0.7467343976777939
1690,810,52.0,851.0,39,171,20150101,1827,44252.0,1378.0,0.6175616835994194
810,1694,27.0,851.0,39,171,20150101,1827,22977.0,1378.0,0.6175616835994194
1694,1695,119.0,847.0,39,171,20150101,1827,100793.0,1378.0,0.6146589259796807
1037,1689,66.0,1254.0,39,159,20150101,1304,82764.0,1418.0,0.8843441466854725
1689,1690,49.0,1245.0,39,159,20150101,1304,61005.0,1418.0,0.8779971791255289
1690,810,52.0,1162.0,39,159,20150101,1304,60424.0,1418.0,0.8194640338504936
810,1694,27.0,1361.0,39,159,20150101,1304,36747.0,1418.0,0.9598025387870239
1694,1695,119.0,1361.0,39,159,20150101,1304,161959.0,1418.0,0.9598025387870239
1037,1689,66.0,1339.0,39,167,20150101,1709,88374.0,1418.0,0.9442877291960508
1689,1690,49.0,1282.0,39,167,20150101,1709,62818.0,1418.0,0.9040902679830748
1690,810,52.0,1239.0,39,167,20150101,1709,64428.0,1418.0,0.8737658674188998
810,1694,27.0,1239.0,39,167,20150101,1709,33453.0,1418.0,0.8737658674188998
1694,1695,119.0,1239.0,39,167,20150101,1709,147441.0,1418.0,0.8737658674188998
1037,1689,66.0,1195.0,39,153,20150101,1010,78870.0,1418.0,0.8427362482369535
1689,1690,49.0,1195.0,39,153,20150101,1010,58555.0,1418.0,0.8427362482369535
1690,810,52.0,1195.0,39,153,20150101,1010,62140.0,1418.0,0.8427362482369535
