站点id,上客量,下客量,车上人数,yyxlbm,lcbm,yxrq,trip_key
1037,1342.0,0.0,1342.0,39,165,20150101,1614
1689,25.0,39.0,1328.0,39,165,20150101,1614
1690,19.0,33.0,1314.0,39,165,20150101,1614
810,123.0,48.0,1389.0,39,165,20150101,1614
1694,0.0,0.0,1389.0,39,165,20150101,1614
1695,0.0,1389.0,0.0,39,165,20150101,1614
1037,1237.0,0.0,1237.0,39,163,20150101,1530
1689,176.0,261.0,1152.0,39,163,20150101,1530
1690,62.0,257.0,957.0,39,163,20150101,1530
810,0.0,0.0,957.0,39,163,20150101,1530
1694,191.0,68.0,1080.0,39,163,20150101,1530
1695,0.0,1080.0,0.0,39,163,20150101,1530
1037,1035.0,0.0,1035.0,39,147,20150101,0740
1689,0.0,0.0,1035.0,39,147,20150101,0740
1690,0.0,0.0,1035.0,39,147,20150101,0740
810,562.0,448.0,1149.0,39,147,20150101,0740
1694,0.0,0.0,1149.0,39,147,20150101,0740
1695,0.0,1149.0,0.0,39,147,20150101,0740
1037,1254.0,0.0,1254.0,89,283,20150101,1118
1689,0.0,0.0,1254.0,89,283,20150101,1118
1690,0.0,0.0,1254.0,89,283,20150101,1118
810,0.0,0.0,1254.0,89,283,20150101,1118
1694,0.0,0.0,1254.0,89,283,20150101,1118
1695,0.0,1254.0,0.0,89,283,20150101,1118
1037,1207.0,0.0,1207.0,39,151,20150101,0910
1689,95.0,101.0,1201.0,39,151,20150101,0910
1690,55.0,118.0,1138.0,39,151,20150101,0910
810,0.0,0.0,1138.0,39,151,20150101,0910
1694,124.0,19.0,1243.0,39,151,20150101,0910
1695,0.0,1243.0,0.0,39,151,20150101,0910
1037,1172.0,0.0,1172.0,89,156,20150101,1130
1689,0.0,0.0,1172.0,89,156,20150101,1130
1690,0.0,0.0,1172.0,89,156,20150101,1130
810,0.0,0.0,1172.0,89,156,20150101,1130
1694,0.0,0.0,1172.0,89,156,20150101,1130
1695,0.0,1172.0,0.0,89,156,20150101,1130
1037,1145.0,0.0,1145.0,39,171,20150101,1827
1689,71.0,187.0,1029.0,39,171,20150101,1827
1690,9.0,187.0,851.0,39,171,20150101,1827
810,0.0,0.0,851.0,39,171,20150101,1827
1694,39.0,43.0,847.0,39,171,20150101,1827
1695,0.0,847.0,0.0,39,171,20150101,1827
1037,1254.0,0.0,1254.0,39,159,20150101,1304
1689,160.0,169.0,1245.0,39,159,20150101,1304
1690,73.0,156.0,1162.0,39,159,20150101,1304
810,295.0,96.0,1361.0,39,159,20150101,1304
1694,0.0,0.0,1361.0,39,159,20150101,1304
1695,0.0,1361.0,0.0,39,159,20150101,1304
1037,1339.0,0.0,1339.0,39,167,20150101,1709
1689,65.0,122.0,1282.0,39,167,20150101,1709
1690,28.0,71.0,1239.0,39,167,20150101,1709
810,0.0,0.0,1239.0,39,167,20150101,1709
1694,0.0,0.0,1239.0,39,167,20150101,1709
1695,0.0,1239.0,0.0,39,167,20150101,1709
1037,1195.0,0.0,1195.0,39,153,20150101,1010
1689,0.0,0.0,1195.0,39,153,20150101,1010
1690,0.0,0.0,1195.0,39,153,20150101,1010
810,0.0,0.0,1195.0,39,153,20150101,1010
1694,0.0,0.0,1195.0,39,153,20150101,1010
1695,0.0,1195.0,0.0,39,153,20150101,1010
1037,1206.0,0.0,1206.0,89,464,20150101,1226
1689,0.0,0.0,1206.0,89,464,20150101,1226
1690,0.0,0.0,1206.0,89,464,20150101,1226
810,0.0,0.0,1206.0,89,464,20150101,1226
1694,0.0,0.0,1206.0,89,464,20150101,1226
1695,0.0,0.0,1206.0,89,464,20150101,1226
1640,0.0,1206.0,0.0,89,464,20150101,1226
1037,336.0,0.0,336.0,89,465,20150101,1959
1689,0.0,0.0,336.0,89,465,20150101,1959
1690,0.0,0.0,336.0,89,465,20150101,1959
810,0.0,0.0,336.0,89,465,20150101,1959
1694,0.0,0.0,336.0,89,465,20150101,1959
1695,0.0,336.0,0.0,89,465,20150101,1959
1037,1247.0,0.0,1247.0,39,161,20150101,1427
1689,131.0,148.0,1230.0,39,161,20150101,1427
1690,50.0,56.0,1224.0,39,161,20150101,1427
810,0.0,0.0,1224.0,39,161,20150101,1427
1694,0.0,0.0,1224.0,39,161,20150101,1427
1695,0.0,1224.0,0.0,39,161,20150101,1427
1695,1380.0,0.0,1380.0,39,152,20150101,0912
1694,0.0,0.0,1380.0,39,152,20150101,0912
810,0.0,0.0,1380.0,39,152,20150101,0912
1690,0.0,0.0,1380.0,39,152,20150101,0912
1689,0.0,0.0,1380.0,39,152,20150101,0912
1037,0.0,1380.0,0.0,39,152,20150101,0912
1695,1359.0,0.0,1359.0,39,154,20150101,1009
1694,0.0,0.0,1359.0,39,154,20150101,1009
810,0.0,0.0,1359.0,39,154,20150101,1009
1690,0.0,0.0,1359.0,39,154,20150101,1009
1689,0.0,0.0,1359.0,39,154,20150101,1009
1037,0.0,1359.0,0.0,39,154,20150101,1009
1037,931.0,0.0,931.0,89,177,20150101,0618
1689,0.0,0.0,931.0,89,177,20150101,0618
1690,0.0,0.0,931.0,89,177,20150101,0618
810,0.0,0.0,931.0,89,177,20150101,0618
1694,0.0,0.0,931.0,89,177,20150101,0618
1695,0.0,0.0,931.0,89,177,20150101,0618
1640,0.0,931.0,0.0,89,177,20150101,0618
1695,1356.0,0.0,1356.0,39,158,20150101,1230
1694,0.0,0.0,1356.0,39,158,20150101,1230
810,93.0,187.0,1262.0,39,158,20150101,1230
1690,180.0,136.0,1306.0,39,158,20150101,1230
1689,183.0,87.0,1402.0,39,158,20150101,1230
1037,0.0,1402.0,0.0,39,158,20150101,1230
1695,1380.0,0.0,1380.0,39,160,20150101,1341
1694,0.0,0.0,1380.0,39,160,20150101,1341
810,0.0,0.0,1380.0,39,160,20150101,1341
1690,77.0,70.0,1387.0,39,160,20150101,1341
1689,71.0,59.0,1399.0,39,160,20150101,1341
1037,0.0,1399.0,0.0,39,160,20150101,1341
1695,1381.0,0.0,1381.0,39,162,20150101,1400
1694,0.0,0.0,1381.0,39,162,20150101,1400
810,93.0,230.0,1244.0,39,162,20150101,1400
1690,131.0,59.0,1316.0,39,162,20150101,1400
1689,151.0,68.0,1399.0,39,162,20150101,1400
1037,0.0,1399.0,0.0,39,162,20150101,1400
1695,1362.0,0.0,1362.0,39,157,20150101,1207
1694,0.0,0.0,1362.0,39,157,20150101,1207
810,0.0,0.0,1362.0,39,157,20150101,1207
1690,0.0,0.0,1362.0,39,157,20150101,1207
1689,0.0,0.0,1362.0,39,157,20150101,1207
1037,0.0,1362.0,0.0,39,157,20150101,1207
1695,1371.0,0.0,1371.0,39,166,20150101,1555
1694,0.0,0.0,1371.0,39,166,20150101,1555
810,0.0,0.0,1371.0,39,166,20150101,1555
1690,0.0,0.0,1371.0,39,166,20150101,1555
1689,141.0,131.0,1381.0,39,166,20150101,1555
1037,0.0,1381.0,0.0,39,166,20150101,1555
1695,1391.0,0.0,1391.0,39,168,20150101,1709
1694,72.0,214.0,1249.0,39,168,20150101,1709
810,0.0,0.0,1249.0,39,168,20150101,1709
1690,0.0,0.0,1249.0,39,168,20150101,1709
1689,47.0,27.0,1269.0,39,168,20150101,1709
1037,0.0,1269.0,0.0,39,168,20150101,1709
1695,1268.0,0.0,1268.0,39,170,20150101,1809
1694,0.0,0.0,1268.0,39,170,20150101,1809
810,0.0,0.0,1268.0,39,170,20150101,1809
1690,0.0,0.0,1268.0,39,170,20150101,1809
1689,138.0,119.0,1287.0,39,170,20150101,1809
1037,0.0,1287.0,0.0,39,170,20150101,1809
1695,647.0,0.0,647.0,39,173,20150101,1938
1694,0.0,0.0,647.0,39,173,20150101,1938
810,0.0,0.0,647.0,39,173,20150101,1938
1690,107.0,76.0,678.0,39,173,20150101,1938
1689,61.0,31.0,708.0,39,173,20150101,1938
1037,0.0,708.0,0.0,39,173,20150101,1938
1695,755.0,0.0,755.0,39,172,20150101,1857
