zdid,lxid,ysfsbm,zdmc,station_code,station_telecode,station_shortname
站点id,,,站点名称,站点code,站点电报码,
1,1,1,北京      ,10001,BJP,京
2,1,1,亦庄      ,10004,YUP,亦
3,1,1,武清      ,10007,WWP,武
4,1,1,南仓所    ,10008,NVP,南
5,1,1,北京南    ,10010,VNP,京
6,1,1,丰台      ,10025,FTP,丰
7,1,1,黄土坡    ,10034,HTP,黄
8,1,1,黄村      ,10037,HCP,黄
9,1,1,魏善庄    ,10064,WSP,魏
10,1,1,安定      ,10067,ADP,安
11,1,1,万庄      ,10070,WZP,万
12,1,1,廊坊北    ,10073,LFP,廊
13,1,1,落垡      ,10076,LOP,落
14,1,1,豆张庄    ,10079,RZP,豆
15,1,1,杨村      ,10082,YBP,杨
16,1,1,汉沟镇    ,10091,HZP,汉
17,1,1,北仓      ,10094,BCP,北
18,1,1,南仓      ,10100,NCP,南
19,1,1,天津北    ,10148,TBP,津
20,1,1,天津      ,10157,TJP,津
21,1,1,塘沽      ,10172,TGP,塘
22,1,1,泰达      ,10173,TDA,泰
23,1,1,茶淀      ,10193,CVP,茶
24,1,1,汉沽      ,10196,HGP,汉
25,1,1,芦台      ,10199,LTP,芦
26,1,1,田庄      ,10202,TWP,田
27,1,1,唐坊      ,10205,TFP,唐
28,1,1,丰南      ,10211,FDP,丰
29,1,1,唐山      ,10214,TSP,唐
30,1,1,石郎庄    ,10250,OLP,石
31,1,1,福山寺    ,10253,FSP,福
32,1,1,马柳      ,10256,MLP,马
33,1,1,杨各庄    ,10262,AGP,杨
34,1,1,滦县      ,10268,UXP,滦
35,1,1,滦县东    ,10271,LXP,滦
36,1,1,昌黎      ,10292,CLP,昌
37,1,1,北戴河    ,10307,BEP,北
38,1,1,秦皇岛    ,10319,QTP,秦
39,1,1,龙家营    ,10328,LKP,龙
40,1,1,山海关    ,10331,SHD,山
41,1,1,东戴河    ,10334,RDD,东
42,1,1,龙家营所  ,10363,UFP,龙
43,1,1,广安门    ,10436,GAP,广
44,1,1,曹子里    ,10493,CFP,曹
45,1,1,崔黄口    ,10499,CHP,崔
46,1,1,大口屯    ,10502,DKP,大
47,1,1,宝坻      ,10508,BPP,宝
48,1,1,下仓      ,10514,ECP,下
49,1,1,上仓      ,10520,SKP,上
50,1,1,蓟县      ,10526,JKP,蓟
51,1,1,三百吨    ,10676,SUP,三
52,1,1,燕郊      ,11108,AJP,燕
53,1,1,大厂县    ,11117,REP,大
54,1,1,三平      ,11120,OWP,三
55,1,1,三河县    ,11123,OXP,三
56,1,1,段甲岭    ,11126,RJP,段
57,1,1,蓟县南    ,11132,JIP,蓟
58,1,1,别山      ,11138,BSP,别
59,1,1,螺山      ,11141,LSP,螺
60,1,1,玉田县    ,11147,ATP,玉
61,1,1,富庄子    ,11153,FIP,富
62,1,1,唐山北    ,11159,FUP,唐
63,1,1,狼窝铺    ,11186,UOP,狼
64,1,1,沙子河    ,11189,OPP,沙
